,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
20,2024-01-01T12:00:00-00:00,2024-01-01T12:15:00-00:00,2024-01-01,5,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,41.70109,1,5
21,2024-01-01T13:00:00-00:00,2024-01-01T13:15:00-00:00,2024-01-01,6,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.828,1,5
22,2024-01-01T14:00:00-00:00,2024-01-01T14:15:00-00:00,2024-01-01,7,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.04785,1,5
23,2024-01-01T15:00:00-00:00,2024-01-01T15:15:00-00:00,2024-01-01,8,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,38.12711,1,5
24,2024-01-01T16:00:00-00:00,2024-01-01T16:15:00-00:00,2024-01-01,9,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,22.96517,1,5
25,2024-01-01T17:00:00-00:00,2024-01-01T17:15:00-00:00,2024-01-01,10,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,27.26896,1,5
26,2024-01-01T18:00:00-00:00,2024-01-01T18:15:00-00:00,2024-01-01,11,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,25.85251,1,5
27,2024-01-01T19:00:00-00:00,2024-01-01T19:15:00-00:00,2024-01-01,12,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,26.00668,1,5
28,2024-01-01T20:00:00-00:00,2024-01-01T20:15:00-00:00,2024-01-01,13,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,15.81585,1,5
29,2024-01-01T21:00:00-00:00,2024-01-01T21:15:00-00:00,2024-01-01,14,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,0.49533,1,5
30,2024-01-01T22:00:00-00:00,2024-01-01T22:15:00-00:00,2024-01-01,15,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,9.15564,1,5
31,2024-01-01T23:00:00-00:00,2024-01-01T23:15:00-00:00,2024-01-01,16,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,16.61795,1,5
32,2024-01-02T00:00:00-00:00,2024-01-02T00:15:00-00:00,2024-01-01,17,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,34.11452,1,5
33,2024-01-02T01:00:00-00:00,2024-01-02T01:15:00-00:00,2024-01-01,18,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,47.82169,1,5
34,2024-01-02T02:00:00-00:00,2024-01-02T02:15:00-00:00,2024-01-01,19,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,51.91197,1,5
35,2024-01-02T03:00:00-00:00,2024-01-02T03:15:00-00:00,2024-01-01,20,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,46.83025,1,5
36,2024-01-02T04:00:00-00:00,2024-01-02T04:15:00-00:00,2024-01-01,21,PALOVRDE_5_N101,PALOVRDE_5_N101,PALOVRDE_5_N101,HASP,LMP,LMP_PRC,PALOVRDE_5_N101,ALL,1,49.76724,1,5
